ρ,PPV,P_H,P_AC1,P_AC2,P_WM,P_DW,P_EV,P_REF,P_AS,Pnet,Pb,Ps,Cele,C_H_dc,C_AC1_dc,C_AC2_dc,Cdc,C
0.09158070495889789,0.0,2.4,2.3499999999999996,1.18,0.0,0.0,0.0,0.5,0.2,6.629999999999999,6.629999999999999,-0.0,0.607180073877493,0.021600000000000005,0.0027000000000000127,0.010240000000000006,0.03454000000000002,0.641720073877493
0.1170498673591556,0.0,2.4,2.2,0.94,0.0,0.0,0.0,0.5,0.2,6.24,6.24,-0.0,0.7303911723211309,0.021600000000000005,0.010799999999999987,0.031360000000000006,0.06376,0.794151172321131
0.09588983405550557,0.0,2.4,2.2,1.02,0.0,0.0,0.0,0.5,0.2,6.32,6.32,-0.0,0.6060237512307952,0.021600000000000005,0.010799999999999987,0.02304,0.05543999999999999,0.6614637512307953
0.09158624257006828,0.0,2.4,2.3499999999999996,1.18,0.0,0.0,0.0,0.5,0.2,6.629999999999999,6.629999999999999,-0.0,0.6072167882395526,0.021600000000000005,0.0027000000000000127,0.010240000000000006,0.03454000000000002,0.6417567882395526
0.08585603555555556,0.0,2.6999999999999997,2.3499999999999996,1.18,0.0,0.0,0.0,0.5,0.2,6.929999999999999,6.929999999999999,-0.0,0.5949823263999999,0.00540000000000001,0.0027000000000000127,0.010240000000000006,0.01834000000000003,0.6133223264
0.09142169111111112,0.0,2.4,2.3499999999999996,1.18,0.0,0.0,0.0,0.5,0.2,6.629999999999999,6.629999999999999,-0.0,0.6061258120666666,0.021600000000000005,0.0027000000000000127,0.010240000000000006,0.03454000000000002,0.6406658120666666
0.1271140688888889,0.0,2.1,2.05,0.94,0.0,0.0,0.0,0.5,0.2,5.789999999999999,5.789999999999999,-0.0,0.7359904588666667,0.04859999999999999,0.024300000000000016,0.031360000000000006,0.10426000000000002,0.8402504588666667
0.10021995333333333,0.0735576095151681,2.4,2.2,1.02,0.0,0.0,0.0,0.5,0.2,6.246442390484832,6.246442390484832,-0.0,0.626018164873745,0.021600000000000005,0.010799999999999987,0.02304,0.05543999999999999,0.681458164873745
0.11941982000000001,1.4903527089546948,2.4,2.2,0.94,0.0,0.0,0.0,0.5,0.2,4.749647291045306,4.749647291045306,-0.0,0.567202024560118,0.021600000000000005,0.010799999999999987,0.031360000000000006,0.06376,0.6309620245601181
0.09212009555555556,3.173680181412196,2.4,2.3499999999999996,1.18,0.0,0.0,0.0,0.5,0.2,3.456319818587803,3.456319818587803,-0.0,0.31839651195886887,0.021600000000000005,0.0027000000000000127,0.010240000000000006,0.03454000000000002,0.3529365119588689
0.18010506408358257,3.3576885284570848,1.7999999999999998,1.9,0.7799999999999999,0.0,0.0,0.0,0.5,0.2,1.8223114715429158,1.8223114715429158,-0.0,0.3282075243624845,0.08640000000000002,0.04320000000000001,0.05184000000000001,0.18144000000000005,0.5096475243624845
0.11324887777777778,3.203247938201768,2.4,2.05,1.02,0.0,0.0,0.0,0.5,0.2,2.966752061798232,2.966752061798232,-0.0,0.3359813416435582,0.021600000000000005,0.024300000000000016,0.02304,0.06894000000000003,0.4049213416435582
0.08887513333333333,2.813524296586366,2.6999999999999997,2.3499999999999996,1.18,0.0,0.0,0.0,0.5,0.2,4.116475703413633,4.116475703413633,-0.0,0.3658523270043137,0.00540000000000001,0.0027000000000000127,0.010240000000000006,0.01834000000000003,0.3841923270043137
0.09295504222222223,2.185003972371397,2.4,2.3499999999999996,1.18,0.0,0.0,10.0,0.5,0.2,14.444996027628601,14.444996027628601,-0.0,1.342735215648049,0.021600000000000005,0.0027000000000000127,0.010240000000000006,0.03454000000000002,1.377275215648049
0.10333800222222222,1.2636713973340976,2.4,2.2,1.02,0.0,0.0,10.0,0.5,0.2,15.056328602665904,15.056328602665904,-0.0,1.5558909186007972,0.021600000000000005,0.010799999999999987,0.02304,0.05543999999999999,1.6113309186007971
0.08885196444444446,0.5669999406676768,2.6999999999999997,2.3499999999999996,1.18,0.0,0.0,10.0,0.5,0.2,16.36300005933232,16.36300005933232,-0.0,1.453884699476238,0.00540000000000001,0.0027000000000000127,0.010240000000000006,0.01834000000000003,1.472224699476238
0.09147979555555556,0.16464864411170108,2.4,2.3499999999999996,1.18,0.0,0.0,10.0,0.5,0.2,16.4653513558883,16.4653513558883,-0.0,1.5062469757870511,0.021600000000000005,0.0027000000000000127,0.010240000000000006,0.03454000000000002,1.5407869757870511
0.09371675555555556,0.0,2.4,2.3499999999999996,1.18,0.0,0.0,0.0,0.5,0.2,6.629999999999999,6.629999999999999,-0.0,0.6213420893333332,0.021600000000000005,0.0027000000000000127,0.010240000000000006,0.03454000000000002,0.6558820893333333
0.09715899333333333,0.0,2.4,2.3499999999999996,1.18,0.0,0.0,0.0,0.5,0.2,6.629999999999999,6.629999999999999,-0.0,0.6441641257999999,0.021600000000000005,0.0027000000000000127,0.010240000000000006,0.03454000000000002,0.6787041258
0.15565286,0.0,2.1,2.05,0.7799999999999999,0.0,0.0,0.0,0.5,0.2,5.63,5.63,-0.0,0.8763256018,0.04859999999999999,0.024300000000000016,0.05184000000000001,0.12474000000000002,1.0010656018
0.19505957383339234,0.0,1.7999999999999998,1.9,0.7799999999999999,0.0,0.0,0.0,0.5,0.2,5.180000000000001,5.180000000000001,-0.0,1.0104085924569723,0.08640000000000002,0.04320000000000001,0.05184000000000001,0.18144000000000005,1.1918485924569724
